group,group,dataset,id,data_central,theory (p),theory (N),cfactor,
CHORUS,CHORUS,CHORUSNUPb,0,0.9985,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,1,1.1256,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,2,1.0676,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,3,1.1091,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,4,0.9809,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,5,1.3752,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,6,1.4092,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,7,1.3549,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,8,1.404,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,9,1.3152,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,10,1.6976,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,11,1.6733,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,12,1.6814,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,13,1.6599,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,14,1.6254,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,15,1.7556,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,16,1.7623,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,17,1.8311,1.63981354236603,1.68073785305023,0.024956685395558,0
CHORUS,CHORUS,CHORUSNUPb,18,1.8257,1.60209655761719,1.64845538139343,0.028936348159436,0
CHORUS,CHORUS,CHORUSNUPb,19,1.7601,1.56370687484741,1.61782336235046,0.034607820924451,0
CHORUS,CHORUS,CHORUSNUPb,20,1.7667,0,0,#DIV/0!,0
CHORUS,CHORUS,CHORUSNUPb,21,1.7164,1.62959182262421,1.7017982006073,0.044309487186071,0
CHORUS,CHORUS,CHORUSNUPb,22,1.7397,1.60414934158325,1.67185163497925,0.042204482862659,0
CHORUS,CHORUS,CHORUSNUPb,23,1.7481,1.57969665527344,1.64308631420136,0.040127741434602,0
CHORUS,CHORUS,CHORUSNUPb,24,1.675,1.5566132068634,1.61663913726807,0.038561879174606,0
CHORUS,CHORUS,CHORUSNUPb,25,1.6307,1.60752642154694,1.61876571178436,0.006991667500315,0
CHORUS,CHORUS,CHORUSNUPb,26,1.6442,1.56055629253387,1.5878119468689,0.017465345188392,0
CHORUS,CHORUS,CHORUSNUPb,27,1.6435,1.52491164207459,1.55834901332855,0.021927415550764,0
CHORUS,CHORUS,CHORUSNUPb,28,1.6708,1.49670684337616,1.53165447711945,0.023349685276012,0
CHORUS,CHORUS,CHORUSNUPb,29,1.5439,1.47200441360474,1.50780296325684,0.024319593964011,0
CHORUS,CHORUS,CHORUSNUPb,30,1.5002,1.48729205131531,1.44213557243347,-0.030361541192869,0
CHORUS,CHORUS,CHORUSNUPb,31,1.4798,1.44065594673157,1.40938174724579,-0.021708305551184,0
CHORUS,CHORUS,CHORUSNUPb,32,1.49,1.40242946147919,1.38106644153595,-0.015232865915912,0
CHORUS,CHORUS,CHORUSNUPb,33,1.4765,1.36989152431488,1.3564954996109,-0.00977889450822,0
CHORUS,CHORUS,CHORUSNUPb,34,1.4271,1.34252870082855,1.33492958545685,-0.005660300123948,0
CHORUS,CHORUS,CHORUSNUPb,35,1.2152,1.20757532119751,1.12288212776184,-0.070134915767972,0
CHORUS,CHORUS,CHORUSNUPb,36,1.1929,1.16603064537048,1.0909857749939,-0.064359260774611,0
CHORUS,CHORUS,CHORUSNUPb,37,1.1634,1.13301575183868,1.06597650051117,-0.059168860820092,0
CHORUS,CHORUS,CHORUSNUPb,38,1.1374,1.10572850704193,1.04527008533478,-0.05467745592351,0
CHORUS,CHORUS,CHORUSNUPb,39,0.8318,0.84264999628067,0.71308445930481,-0.153759612588552,0
CHORUS,CHORUS,CHORUSNUPb,40,0.7478,0.802673399448395,0.686670482158661,-0.144520694680367,0
CHORUS,CHORUS,CHORUSNUPb,41,0.7532,0.770926892757416,0.667574286460876,-0.134062785028646,0
CHORUS,CHORUS,CHORUSNUPb,42,0.7614,0.745444536209106,0.652470648288727,-0.124722743818326,0
CHORUS,CHORUS,CHORUSNUPb,43,0.4931,0.487205505371094,0.398777782917023,-0.181499842426283,0
CHORUS,CHORUS,CHORUSNUPb,44,0.4383,0.455808490514755,0.379122287034988,-0.168242156685505,0
